date,open_price,high_price,low_price,close_price,volume_price,adjclose_price
2018-11-28,14,15,14,15,2643700,14
2018-11-27,14,14,14,14,4384700,13
2018-11-26,13,14,13,14,5903400,13
2018-11-23,13,13,13,13,2691800,12
2018-11-21,12,14,12,13,12480800,12
2018-11-20,12,12,12,12,6034900,11
2018-11-19,12,13,12,13,3450900,12
2018-11-16,12,12,12,12,5716700,12
2018-11-15,12,13,12,13,3029900,12
2018-11-14,14,14,12,12,3436100,12
2018-11-13,13,14,13,13,2308200,13
2018-11-12,14,14,13,13,2400200,13
2018-11-09,14,14,14,14,1671500,13
2018-11-08,14,15,14,14,2139300,13
2018-11-07,15,15,14,14,2044300,14
2018-11-06,14,15,14,14,1896000,14
2018-11-05,15,15,14,14,1803600,14
2018-11-02,15,15,15,15,1665600,14
2018-11-01,14,15,14,15,2754300,14
2018-10-31,14,14,14,14,1738900,13
2018-10-30,14,15,14,14,2094100,13
2018-10-29,13,14,13,14,3168900,13
2018-10-26,14,14,13,13,2511100,12
2018-10-25,15,15,14,14,2274100,13
2018-10-24,15,15,15,15,2241300,14
2018-10-23,14,15,14,15,2395100,14
2018-10-22,14,15,14,15,2305500,14
2018-10-19,14,15,14,14,3106000,13
2018-10-18,15,15,14,15,1478600,14
2018-10-17,15,15,14,15,1997900,14
2018-10-16,14,15,14,15,2040200,14
2018-10-15,14,15,14,14,1500100,13
2018-10-12,14,15,14,14,1927600,13
2018-10-11,14,15,14,14,2096000,13
2018-10-10,14,15,14,14,1962600,13
2018-10-09,14,15,14,14,2405700,13
2018-10-08,14,15,14,14,2260100,14
2018-10-05,14,14,14,14,2323700,13
2018-10-04,14,15,14,14,1521600,13
2018-10-03,15,15,14,14,2013600,14
2018-10-02,15,15,14,14,2878200,13
2018-10-01,15,15,14,15,4059800,14
2018-09-28,15,15,15,15,2525800,14
2018-09-27,15,15,15,15,2024200,14
2018-09-26,16,16,15,15,1901300,14
2018-09-25,15,16,15,16,2062500,15
2018-09-24,16,16,15,15,3577700,14
2018-09-21,16,16,16,16,3040900,15
2018-09-20,16,16,16,16,1604100,15
2018-09-19,16,16,16,16,1798200,15
2018-09-18,16,16,16,16,1786800,15
2018-09-17,16,16,16,16,2232000,15
2018-09-14,16,17,16,16,3005400,15
2018-09-13,16,17,16,17,3689500,15
2018-09-12,16,16,16,16,3395800,15
2018-09-11,16,16,16,16,2791000,14
2018-09-10,16,16,15,16,2727700,14
2018-09-07,15,16,14,16,6795600,14
2018-09-06,16,16,15,16,6777200,14
2018-09-05,13,16,13,16,17471600,14
2018-09-04,13,14,13,14,5936000,12
2018-08-31,13,13,13,13,3724000,12
2018-08-30,13,13,13,13,3933400,12
2018-08-29,14,14,13,14,4099600,12
2018-08-28,14,14,14,14,6822000,12
